epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.9319604985854204,0.420049710024855,1.571585384840818,0.44716494845360827
2,1.2743737708959286,0.584092792046396,0.9410659763001904,0.6778350515463918
3,0.9046599990061981,0.6995305164319249,0.7328980110355259,0.770618556701031
4,0.6733043477560597,0.7826567246616957,0.5759981858361628,0.8208762886597938
5,0.505214636277606,0.8282242474454571,0.5133953730470127,0.8402061855670103
6,0.4354979115456252,0.8541839270919636,0.42322187310027093,0.8608247422680413
7,0.34602772387851094,0.884286108809721,0.4381914028187388,0.8646907216494846
8,0.3170333387763814,0.8975421154377243,0.381023562446083,0.884020618556701
9,0.2707851956439254,0.9116266224799779,0.36028395170710753,0.8969072164948454
10,0.24009692608266944,0.92018779342723,0.3284144128298329,0.904639175257732
11,0.2185582134628849,0.9304059652029826,0.29438184985180493,0.9149484536082474
12,0.19613201993069276,0.9364816349074842,0.33182442956364033,0.9201030927835051
13,0.18147849407200325,0.9409003037834852,0.3080331874031996,0.9085051546391752
14,0.1596643819158099,0.947804473902237,0.2792782138303383,0.9304123711340206
15,0.12606975026336106,0.9580226456779896,0.3094367773569736,0.9265463917525774
16,0.12828389566121132,0.95995581331124,0.2952680181491083,0.913659793814433
17,0.12102822038851467,0.9585749792874897,0.25250640446224165,0.9329896907216495
18,0.10139488970572261,0.9668599834299917,0.2539202059743945,0.9317010309278351
19,0.13827135530496554,0.9607843137254902,0.2883643208013982,0.9342783505154639
20,0.09700152633243077,0.9687931510632422,0.250562462072397,0.9381443298969072
21,0.10312428813786738,0.963822148577741,0.2761502649980722,0.9252577319587629
22,0.07910742683810425,0.9748688207677437,0.24327677726438365,0.9291237113402062
23,0.07523560605235512,0.9762496547914941,0.43626038438266085,0.913659793814433
24,0.07172427992023954,0.9787351560342447,0.25462820746734277,0.9445876288659794
25,0.0673881123584197,0.9792874896437448,0.2623873848813711,0.9329896907216495
26,0.08501408941603583,0.9748688207677437,0.2827716068047838,0.9342783505154639
27,0.07358508121620082,0.9751449875724938,0.24531977298338273,0.9497422680412371
28,0.0647622172282075,0.9784589892294946,0.23273612144067116,0.9368556701030928
29,0.06260811359688714,0.9809444904722452,0.2149560784335373,0.9484536082474226
30,0.06797161531958444,0.9803921568627451,0.4771904782152053,0.9213917525773195
