class_name,accuracy,number_of_test_images
pedestrian crossing,0.9968847352024922,321
give way,0.9659090909090909,88
tow truck,0.9591836734693877,49
no stopping,0.9787234042553191,47
parking place,0.9347826086956522,46
maximum speed limit_40,1.0,40
left,0.918918918918919,37
stop line,0.8529411764705882,34
right,0.8823529411764706,34
straight,0.9655172413793104,29
bus stop,0.9285714285714286,28
no entry,0.9583333333333334,24
